age,sex,education,province,citizenship_status,agegroup
61.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
47.5,Female,"University certificate, diploma or degree above the bach...",Prince Edward Island,By birth,35 to 50
46.6,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
53.6,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
68.6,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
45.1,Male,Trade certificate or diploma,Nova Scotia,By birth,35 to 50
51,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,50 to 65
70.8,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
60.8,Female,Trade certificate or diploma,Quebec,By birth,50 to 65
53.1,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
34,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,21 to 35
72.4,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,65 to 80
80,Female,Less than high school diploma or its equivalent,Alberta,By birth,65 to 80
65.9,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,65 to 80
61.8,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
37,Female,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,35 to 50
58.4,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
42.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
44.3,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
26.7,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
24.1,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,21 to 35
41.1,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
26.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
31.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
57.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
41.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
54,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
63.9,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
57.8,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
74.8,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
41.1,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,35 to 50
59.9,Male,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,50 to 65
80,Female,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,65 to 80
53.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,50 to 65
35.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,35 to 50
80,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,65 to 80
73.3,Female,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,65 to 80
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,65 to 80
72.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,65 to 80
56.3,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
64.9,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,50 to 65
29.8,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,21 to 35
71,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,65 to 80
33,Female,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,21 to 35
25.3,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
63.4,Male,"University certificate, diploma or degree above the bach...",British Columbia,By naturalization,50 to 65
79,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
57.3,Female,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
45.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By naturalization,35 to 50
55.8,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
47.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
41.4,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,35 to 50
64.3,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
80,Female,Less than high school diploma or its equivalent,Alberta,By birth,65 to 80
29.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,21 to 35
79.1,Male,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
59.3,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
47.3,Male,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,35 to 50
35.9,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
22.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,21 to 35
51.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By naturalization,50 to 65
45,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
72.1,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
73,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
70.8,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,65 to 80
63.8,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
58.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,50 to 65
36.5,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
60.3,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
66.1,Male,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
78.2,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
33.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,21 to 35
76.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,65 to 80
74.8,Female,Trade certificate or diploma,New Brunswick,By birth,65 to 80
70.6,Female,Less than high school diploma or its equivalent,British Columbia,By naturalization,65 to 80
80,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
39.6,Male,University certificate or diploma below the bachelor's level,Prince Edward Island,By birth,35 to 50
30.8,Male,University certificate or diploma below the bachelor's level,Ontario,By birth,21 to 35
69.6,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
56.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
30.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,21 to 35
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
33.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
63.8,Female,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,50 to 65
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
41.3,Female,"University certificate, diploma or degree above the bach...",British Columbia,By birth,35 to 50
18.3,Female,Less than high school diploma or its equivalent,Ontario,By birth,20 or less
40.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
48.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,35 to 50
65.3,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
29.7,Male,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,21 to 35
33.1,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
25.8,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
39.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,35 to 50
69.9,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
67.1,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,65 to 80
31.8,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
61.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
65.6,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
59,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,50 to 65
63.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,50 to 65
43.9,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,35 to 50
51.3,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
52.9,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,50 to 65
40.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,35 to 50
76.6,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
62.3,Male,Trade certificate or diploma,Newfoundland and Labrador,By birth,50 to 65
57.2,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,50 to 65
80,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
69.2,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,65 to 80
64.9,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By naturalization,50 to 65
70.6,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
73.4,Female,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
80,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
67.4,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,65 to 80
61.8,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
67.4,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
47.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
52.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
20.3,Female,High school diploma or a high school equivalency certificate,Manitoba,By birth,21 to 35
31.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
78,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
24.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
50,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
63.1,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
62,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,50 to 65
36.4,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
63.1,Male,Less than high school diploma or its equivalent,Ontario,By birth,50 to 65
53.5,Male,"University certificate, diploma or degree above the bach...",Newfoundland and Labrador,By birth,50 to 65
68,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
57.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,50 to 65
51.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
34.9,Male,Less than high school diploma or its equivalent,British Columbia,By birth,21 to 35
68,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,65 to 80
61.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,50 to 65
24.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
71.6,Female,Less than high school diploma or its equivalent,Prince Edward Island,By birth,65 to 80
68.3,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
59.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
41.4,Female,University certificate or diploma below the bachelor's level,New Brunswick,By birth,35 to 50
66.8,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,65 to 80
56.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
69.3,Male,High school diploma or a high school equivalency certificate,British Columbia,By naturalization,65 to 80
76.6,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,65 to 80
53.7,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
76,Female,Less than high school diploma or its equivalent,Prince Edward Island,By birth,65 to 80
30.6,Female,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By birth,21 to 35
53.9,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,50 to 65
53.3,Male,Trade certificate or diploma,Ontario,By birth,50 to 65
70.5,Male,Trade certificate or diploma,Ontario,By birth,65 to 80
65.3,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
72.5,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
37,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,35 to 50
31.2,Male,Trade certificate or diploma,Quebec,By birth,21 to 35
53.7,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,Ontario,By naturalization,65 to 80
61.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
45.8,Female,"University certificate, diploma or degree above the bach...",Newfoundland and Labrador,By birth,35 to 50
52.3,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
32.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
66.8,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
65.6,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,65 to 80
63.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
67.8,Female,Trade certificate or diploma,Nova Scotia,By birth,65 to 80
66.8,Male,Trade certificate or diploma,Saskatchewan,By birth,65 to 80
61.9,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,50 to 65
71.3,Female,High school diploma or a high school equivalency certificate,Ontario,By naturalization,65 to 80
40.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
26,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
57.3,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
35.9,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,35 to 50
63.1,Male,Trade certificate or diploma,Alberta,By birth,50 to 65
38.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,35 to 50
75,Male,Less than high school diploma or its equivalent,Prince Edward Island,By naturalization,65 to 80
63.3,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
65.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
19.5,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,20 or less
72.3,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,65 to 80
27.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,21 to 35
45.2,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
62.6,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
28.5,Female,"University certificate, diploma or degree above the bach...",Quebec,By naturalization,21 to 35
56.7,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,50 to 65
58.3,Female,High school diploma or a high school equivalency certificate,Manitoba,By birth,50 to 65
60.8,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,50 to 65
66.3,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By naturalization,65 to 80
62.7,Male,Less than high school diploma or its equivalent,Ontario,By birth,50 to 65
32.9,Male,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,21 to 35
39.3,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,35 to 50
56.5,Female,High school diploma or a high school equivalency certificate,British Columbia,By naturalization,50 to 65
47.6,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,35 to 50
22.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
65.3,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
49.6,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
22.7,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,21 to 35
65.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,65 to 80
34.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
50.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
80,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,65 to 80
61.8,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
59.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,50 to 65
41.9,Female,University certificate or diploma below the bachelor's level,Newfoundland and Labrador,By birth,35 to 50
65.6,Male,University certificate or diploma below the bachelor's level,Ontario,By naturalization,65 to 80
80,Female,Trade certificate or diploma,Saskatchewan,By birth,65 to 80
35.8,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
66.7,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
26.5,Female,Less than high school diploma or its equivalent,Quebec,By birth,21 to 35
55.1,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,50 to 65
57.9,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
44.2,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,35 to 50
61.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,50 to 65
27.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
71.3,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
68.8,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
80,Male,Trade certificate or diploma,Manitoba,By birth,65 to 80
55,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
54.9,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
69.9,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
41,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By naturalization,65 to 80
61.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
77.6,Female,Less than high school diploma or its equivalent,Alberta,By birth,65 to 80
62.7,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By naturalization,50 to 65
54.8,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
80,Female,University certificate or diploma below the bachelor's level,Quebec,By birth,65 to 80
71.6,Female,High school diploma or a high school equivalency certificate,Ontario,By naturalization,65 to 80
59.5,Male,Trade certificate or diploma,Saskatchewan,By birth,50 to 65
41.2,Female,"University certificate, diploma or degree above the bach...",British Columbia,By naturalization,35 to 50
78.8,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
67.8,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,65 to 80
74.8,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
77.9,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,65 to 80
53.7,Female,Trade certificate or diploma,British Columbia,By birth,50 to 65
61.3,Female,"University certificate, diploma or degree above the bach...",Quebec,By naturalization,50 to 65
39.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,35 to 50
48.9,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
40.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
29.9,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
18,Male,Less than high school diploma or its equivalent,British Columbia,By birth,20 or less
74.9,Male,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,65 to 80
44.6,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
26.4,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
61.2,Female,Trade certificate or diploma,Quebec,By birth,50 to 65
51.5,Male,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,50 to 65
31.8,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,21 to 35
80,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
70.6,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
63.3,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,50 to 65
26.3,Female,Trade certificate or diploma,Quebec,By birth,21 to 35
58.6,Male,Less than high school diploma or its equivalent,New Brunswick,By birth,50 to 65
34.3,Male,"University certificate, diploma or degree above the bach...",Alberta,By birth,21 to 35
39.5,Male,Trade certificate or diploma,Alberta,By birth,35 to 50
39.4,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
43,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,35 to 50
52.6,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
20.9,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
58.9,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
61.9,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
57.8,Female,Less than high school diploma or its equivalent,Ontario,By birth,50 to 65
62.7,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
48.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,35 to 50
59.6,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,50 to 65
40.9,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
44.3,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,35 to 50
72.3,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
24.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,21 to 35
40.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,35 to 50
46.3,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,35 to 50
37.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
48.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
40.2,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
32.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,21 to 35
48,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,35 to 50
58.5,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,50 to 65
79.9,Female,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
21.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
61.3,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
